student number: 1,Age: 18,Gender: 1
Trial No,Trial Type,Word,Response,RT,Correct
1,Practice,acucaniop,0,0,1
2,Practice,tritten,0,0,1
3,Practice,madesbief,1,539,0
4,Practice,numerical,0,0,0
5,Practice,rectangular,1,533,1
6,Practice,matchbook,1,443,1
7,Practice,indicate,1,432,1
8,Practice,cen,0,0,1
9,Practice,checkers,1,379,1
10,Practice,fafistics,1,616,0
11,Practice,input,0,0,0
12,Practice,inkat,0,0,1
13,Practice,reltorsular,0,0,1
14,Practice,logistics,1,341,1
15,Practice,ensicans,0,0,1
16,Practice,speshers,1,96,0
17,Practice,aluminium,0,0,0
18,Practice,flatten,0,0,0
19,Practice,bicerimal,0,0,1
20,Practice,ten,0,0,0
